Date,Debt to GDP,GDP,y
1987-01-01,47.58,4855.21625,
1988-01-01,49.03,5236.438,
1989-01-01,49.73,5641.5795,
1990-01-01,51.97,5963.1445,
1991-01-01,57.42,6158.12925,
1992-01-01,61,6520.32725,
1993-01-01,62.87,6858.5585,
1994-01-01,64.31,7287.2365,
1995-01-01,64.66,7639.74925,
1996-01-01,65.04,8073.12175,
1997-01-01,64.34,8577.5525,
1998-01-01,62.51,9062.81675,
1999-01-01,60.05,9631.17175,
2000-01-01,57.72,10250.952,
2001-01-01,55.14,10581.929,
2002-01-01,55.7,10929.10825,
2003-01-01,57.82,11456.4495,
2004-01-01,59.81,12217.19575,
2005-01-01,60.91,13039.197,
2006-01-01,61.56,13815.583,
2007-01-01,62.25,14474.227,
2008-01-01,64.17,14769.8615,
2009-01-01,77.1,14478.06675,
2010-01-01,86.51,15048.97,
2011-01-01,92.96,15599.73175,
2012-01-01,97.12,16253.97,
2013-01-01,100.86,16843.19575,
2014-01-01,102.67,17550.68775,
2015-01-01,100.89,18206.0235,
2016-01-01,104.56,18695.10575,
2017-01-01,103.65,19477.3365,
2018-01-01,104.63,20533.0575,
2019-01-01,104.83,21380.976,
2020-01-01,107.83,21060.47425,
2021-01-01,126.08,23315.08125,
2022-01-01,122.88,25462.72225,
2023-01-01,118.58,26529.7,50
