"날짜","종가","시가","고가","저가","거래량","변동 %"
"2010- 08- 22","22,550","22,000","23,000","21,050","44.21M","2.50%"
"2010- 08- 15","22,000","21,550","22,650","21,200","36.59M","1.62%"
"2010- 08- 08","21,650","22,900","23,250","20,200","52.99M","-5.25%"
"2010- 08- 01","22,850","22,550","22,900","21,400","70.48M","1.56%"
"2010- 07- 25","22,500","23,300","24,200","22,150","81.30M","-3.23%"
"2010- 07- 18","23,250","23,700","24,350","22,250","57.86M","-1.06%"
"2010- 07- 11","23,500","25,900","26,250","23,500","74.92M","-8.56%"
"2010- 07- 04","25,700","25,300","26,100","24,250","40.89M","1.58%"
"2010- 06- 27","25,300","26,500","26,750","24,550","55.12M","-4.35%"
"2010- 06- 20","26,450","28,550","28,750","26,350","41.01M","-6.04%"
"2010- 06- 13","28,150","25,900","28,350","25,750","51.13M","9.11%"
"2010- 06- 06","25,800","25,900","26,900","25,200","57.26M","-2.27%"
"2010- 05- 30","26,400","25,600","26,500","24,400","48.17M","2.72%"
"2010- 05- 23","25,700","23,750","26,350","22,600","63.01M","8.21%"
"2010- 05- 16","23,750","26,050","26,100","23,100","62.21M","-10.71%"
"2010- 05- 09","26,600","26,900","27,350","25,550","47.40M","0.95%"
"2010- 05- 02","26,350","28,150","28,300","25,350","41.34M","-7.22%"
"2010- 04- 25","28,400","28,500","28,800","26,700","42.05M","-0.35%"
"2010- 04- 18","28,500","27,100","29,150","26,500","36.53M","3.64%"
"2010- 04- 11","27,500","28,400","28,450","26,800","35.17M","-1.79%"
"2010- 04- 04","28,000","28,500","29,400","27,250","53.34M","-0.53%"
"2010- 03- 28","28,150","24,950","29,300","24,900","46.94M","11.71%"
"2010- 03- 21","25,200","24,500","25,700","24,300","24.83M","3.49%"
"2010- 03- 14","24,350","23,450","24,500","23,350","75.74M","4.73%"
"2010- 03- 07","23,250","22,900","23,400","21,800","32.10M","3.33%"
"2010- 02- 28","22,500","21,500","22,650","21,200","20.89M","7.14%"
"2010- 02- 21","21,000","21,850","22,850","20,600","32.38M","-1.87%"
"2010- 02- 14","21,400","21,550","22,600","21,150","23.16M","-0.93%"
"2010- 02- 07","21,600","21,550","23,000","21,400","38.71M","1.41%"
"2010- 01- 31","21,300","22,200","23,800","20,750","58.06M","-6.37%"
"2010- 01- 24","22,750","25,850","26,350","22,200","66.63M","-12.84%"
"2010- 01- 17","26,100","25,450","26,250","24,750","37.82M","0.00%"
"2010- 01- 10","26,100","24,900","26,700","23,700","39.57M","5.88%"
"2010- 01- 03","24,650","23,350","25,200","23,050","47.85M","6.48%"
"2009- 12- 27","23,150","22,150","23,400","22,050","14.77M","3.81%"
"2009- 12- 20","22,300","21,950","22,450","21,650","21.04M","3.00%"
"2009- 12- 13","21,650","20,900","21,650","20,350","28.42M","3.59%"
"2009- 12- 06","20,900","20,000","21,100","19,900","39.09M","6.09%"
"2009- 11- 29","19,700","18,800","19,800","17,800","37.89M","6.78%"
"2009- 11- 22","18,450","19,200","19,400","18,250","31.98M","-3.66%"
"2009- 11- 15","19,150","18,950","19,750","18,200","55.38M","1.59%"
"2009- 11- 08","18,850","19,300","21,200","18,750","52.26M","-1.05%"
"2009- 11- 01","19,050","17,700","19,150","17,650","28.37M","5.54%"
"2009- 10- 25","18,050","18,750","19,150","17,100","45.48M","-3.73%"
"2009- 10- 18","18,750","19,700","20,250","18,600","35.08M","-5.30%"
"2009- 10- 11","19,800","20,200","21,300","19,500","48.19M","0.76%"
"2009- 10- 04","19,650","19,300","19,850","17,950","47.05M","0.00%"
"2009- 09- 27","19,650","19,050","20,200","18,700","41.85M","3.69%"
"2009- 09- 20","18,950","20,750","22,100","17,600","105.18M","-7.11%"
"2009- 09- 13","20,400","20,900","21,450","20,000","41.77M","-3.32%"
"2009- 09- 06","21,100","21,150","21,800","20,100","53.46M","1.44%"
"2009- 08- 30","20,800","22,000","22,600","20,500","57.65M","-2.58%"
"2009- 08- 23","21,350","20,350","21,600","20,200","47.06M","8.38%"
"2009- 08- 16","19,700","19,100","20,300","18,500","64.88M","2.87%"
"2009- 08- 09","19,150","18,550","19,300","18,050","65.70M","5.51%"
"2009- 08- 02","18,150","17,600","18,550","17,000","67.14M","3.13%"
"2009- 07- 26","17,600","16,550","18,600","16,450","89.07M","7.65%"
"2009- 07- 19","16,350","15,900","17,300","15,800","71.87M","4.81%"
"2009- 07- 12","15,600","14,700","16,100","14,200","53.40M","5.05%"
"2009- 07- 05","14,850","15,050","15,750","14,850","58.04M","-0.67%"
"2009- 06- 28","14,950","13,950","15,000","13,550","63.57M","7.94%"
"2009- 06- 21","13,850","13,350","14,250","13,300","64.42M","4.53%"
"2009- 06- 14","13,250","13,050","13,900","12,700","53.02M","2.32%"
"2009- 06- 07","12,950","14,000","14,100","12,800","62.69M","-7.83%"
"2009- 05- 31","14,050","12,800","14,150","12,550","80.24M","8.91%"
