"날짜","종가","시가","고가","저가","변동 %"
"2015- 06- 01","3.119","2.888","3.256","2.864","8.22%"
"2015- 05- 01","2.883","2.751","3.128","2.747","5.04%"
"2015- 04- 01","2.744","2.542","2.813","2.441","8.03%"
"2015- 03- 01","2.540","2.600","2.870","2.444","-2.04%"
"2015- 02- 01","2.593","2.231","2.747","2.230","16.67%"
"2015- 01- 01","2.223","2.776","2.786","2.221","-19.15%"
"2014- 12- 01","2.750","2.897","3.017","2.670","-4.97%"
"2014- 11- 01","2.893","3.041","3.133","2.889","-5.64%"
"2014- 10- 01","3.066","3.210","3.276","2.673","-4.25%"
"2014- 09- 01","3.202","3.092","3.391","3.089","3.84%"
"2014- 08- 01","3.084","3.320","3.370","3.059","-7.09%"
"2014- 07- 01","3.319","3.362","3.516","3.217","-1.26%"
"2014- 06- 01","3.362","3.333","3.499","3.324","1.04%"
"2014- 05- 01","3.327","3.471","3.503","3.266","-3.76%"
"2014- 04- 01","3.457","3.563","3.654","3.418","-2.90%"
"2014- 03- 01","3.560","3.558","3.752","3.493","-0.67%"
"2014- 02- 01","3.584","3.614","3.743","3.525","-0.43%"
"2014- 01- 01","3.599","3.965","3.983","3.594","-9.20%"
"2013- 12- 01","3.964","3.825","4.001","3.779","3.86%"
"2013- 11- 01","3.817","3.643","3.938","3.637","4.90%"
"2013- 10- 01","3.639","3.688","3.804","3.565","-1.46%"
"2013- 09- 01","3.693","3.741","3.922","3.642","-0.64%"
"2013- 08- 01","3.716","3.650","3.940","3.602","1.93%"
"2013- 07- 01","3.646","3.507","3.793","3.418","4.18%"
"2013- 06- 01","3.499","3.306","3.652","3.169","6.75%"
"2013- 05- 01","3.278","2.873","3.370","2.810","13.83%"
"2013- 04- 01","2.880","3.140","3.140","2.823","-7.21%"
"2013- 03- 01","3.104","3.086","3.286","3.037","0.46%"
"2013- 02- 01","3.090","3.181","3.254","3.030","-2.49%"
"2013- 01- 01","3.168","2.952","3.222","2.952","7.32%"
"2012- 12- 01","2.952","2.811","3.036","2.745","5.05%"
"2012- 11- 01","2.810","2.864","2.963","2.695","-1.72%"
"2012- 10- 01","2.859","2.814","3.023","2.796","1.29%"
"2012- 09- 01","2.823","2.695","3.121","2.654","5.79%"
"2012- 08- 01","2.668","2.550","2.984","2.508","4.64%"
"2012- 07- 01","2.550","2.759","2.761","2.443","-7.40%"
"2012- 06- 01","2.754","2.654","2.854","2.510","4.29%"
"2012- 05- 01","2.641","3.118","3.169","2.585","-15.21%"
"2012- 04- 01","3.114","3.363","3.445","3.057","-6.83%"
"2012- 03- 01","3.343","3.094","3.492","3.059","8.47%"
"2012- 02- 01","3.082","2.941","3.234","2.939","4.88%"
"2012- 01- 01","2.938","2.891","3.182","2.879","1.63%"
"2011- 12- 01","2.891","3.069","3.161","2.778","-5.36%"
"2011- 11- 01","3.055","3.148","3.201","2.816","-2.43%"
"2011- 10- 01","3.131","2.921","3.489","2.694","7.43%"
"2011- 09- 01","2.914","3.605","3.654","2.739","-19.30%"
