"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 07- 03","45,400","45,750","46,350","45,200","9.66M","-1.84%"
"2019- 07- 02","46,250","46,200","46,900","45,850","8.43M","-0.75%"
"2019- 07- 01","46,600","47,350","47,400","46,250","11.03M","-0.85%"
"2019- 06- 30","47,000","47,000","47,000","47,000","","0.00%"
"2019- 06- 28","47,000","47,000","47,000","46,700","12.25M","1.08%"
"2019- 06- 27","46,500","46,000","46,600","45,750","12.58M","1.75%"
"2019- 06- 26","45,700","45,800","46,000","45,600","9.02M","0.22%"
"2019- 06- 25","45,600","45,200","45,800","45,200","6.87M","0.22%"
"2019- 06- 24","45,500","45,200","45,800","45,200","6.07M","-0.44%"
"2019- 06- 23","45,700","45,700","45,700","45,700","","0.00%"
"2019- 06- 21","45,700","45,750","45,800","45,200","9.32M","0.44%"
"2019- 06- 20","45,500","44,850","45,500","44,850","6.76M","0.33%"
"2019- 06- 19","45,350","45,450","45,450","45,000","9.36M","2.25%"
"2019- 06- 18","44,350","43,750","44,500","43,650","7.98M","1.03%"
"2019- 06- 17","43,900","43,750","44,050","43,400","7.36M","-0.23%"
"2019- 06- 16","44,000","44,000","44,000","44,000","","0.00%"
"2019- 06- 14","44,000","43,750","44,150","43,300","8.31M","0.57%"
"2019- 06- 13","43,750","44,200","44,400","43,400","16.89M","-1.91%"
"2019- 06- 12","44,600","44,800","45,050","44,300","8.55M","-0.56%"
"2019- 06- 11","44,850","44,800","45,000","44,550","6.63M","0.11%"
"2019- 06- 10","44,800","44,300","44,850","44,050","8.62M","1.36%"
"2019- 06- 07","44,200","43,600","44,350","43,450","11.62M","0.68%"
"2019- 06- 05","43,900","44,050","44,200","43,700","10.82M","1.04%"
"2019- 06- 04","43,450","43,400","43,700","43,000","9.87M","-0.80%"
"2019- 06- 03","43,800","42,950","43,900","42,500","15.08M","3.06%"
"2019- 05- 31","42,500","42,600","42,800","42,150","10.21M","-0.12%"
"2019- 05- 30","42,550","42,200","42,700","42,150","9.98M","1.79%"
"2019- 05- 29","41,800","41,850","42,100","41,300","14.52M","-1.76%"
"2019- 05- 28","42,550","42,550","42,950","42,150","22.59M","-0.23%"
"2019- 05- 27","42,650","42,500","43,000","42,350","7.44M","-0.12%"
"2019- 05- 24","42,700","43,800","43,800","42,400","13.34M","-2.62%"
"2019- 05- 23","43,850","43,900","44,000","43,250","12.19M","0.80%"
"2019- 05- 22","43,500","43,700","43,800","42,400","10.70M","0.81%"
"2019- 05- 21","43,150","42,600","43,950","42,350","18.69M","2.74%"
