DATE,SPCS10RSA
2004-11-01,189.4914143
2004-12-01,191.759429
2005-01-01,194.6035225
2005-02-01,197.7780261
2005-03-01,201.279033
2005-04-01,203.8287659
2005-05-01,206.0843123
2005-06-01,208.2243729
2005-07-01,210.2765883
2005-08-01,212.3175049
2005-09-01,214.9711001
2005-10-01,217.458601
2005-11-01,219.9410762
2005-12-01,222.1804496
2006-01-01,223.8711015
2006-02-01,225.635991
2006-03-01,226.4747996
2006-04-01,226.9045503
2006-05-01,226.6440845
2006-06-01,225.6910037
2006-07-01,224.5600167
2006-08-01,223.2603122
2006-09-01,222.8362948
2006-10-01,222.777925
2006-11-01,222.8812999
2006-12-01,222.5625795
2007-01-01,222.743187
2007-02-01,222.9696991
2007-03-01,222.8755598
2007-04-01,221.3966581
2007-05-01,219.2802124
2007-06-01,216.8068848
2007-07-01,214.4501678
2007-08-01,211.9385993
2007-09-01,210.1057585
2007-10-01,207.6620692
2007-11-01,204.1611918
2007-12-01,200.801205
2008-01-01,197.4670125
2008-02-01,193.1474767
2008-03-01,189.3036648
2008-04-01,185.9194971
2008-05-01,182.5503675
2008-06-01,179.9861066
2008-07-01,176.7610133
2008-08-01,174.009043
2008-09-01,170.7697387
2008-10-01,167.8028186
2008-11-01,165.0605404
2008-12-01,162.2654909
2009-01-01,159.2636023
2009-02-01,157.0889614
2009-03-01,154.3966316
2009-04-01,152.867252
2009-05-01,152.0881415
2009-06-01,152.7272312
2009-07-01,153.8933651
2009-08-01,155.2474015
2009-09-01,156.0740207
2009-10-01,156.8801601
2009-11-01,157.5847038
2009-12-01,158.4976235
2010-01-01,159.4543926
2010-02-01,159.732935
2010-03-01,159.4274694
2010-04-01,160.0199014
2010-05-01,160.261469
2010-06-01,160.1645873
2010-07-01,159.7381614
2010-08-01,158.8245461
2010-09-01,158.0881564
2010-10-01,157.146447
2010-11-01,156.9679428
2010-12-01,156.6186835
2011-01-01,156.1950227
2011-02-01,155.4587317
2011-03-01,154.0256821
